,FECHA (YYMMDD),HORA (HHMM),Porcentaje,Registros validados,Temperatura (°C)
0,170101,100,69.0,18.5658,9.60001
1,170101,200,69.0,18.5658,9.60001
2,170101,300,66.0,18.5658,10.0
3,170101,400,64.0,18.5658,10.4
4,170101,500,68.0,18.5658,10.3
5,170101,600,73.0,18.5658,10.0
6,170101,700,70.0,18.5658,11.1
7,170101,800,68.0,18.5658,12.3
8,170101,900,70.0,18.5658,12.6
9,170101,1000,59.0,18.5658,13.6
10,170101,1100,60.0,18.5658,13.6
11,170101,1200,59.0,18.5658,13.6
12,170101,1300,60.0,18.5658,13.8
13,170101,1400,52.0,18.5658,15.1
14,170101,1500,54.0,18.5658,14.8
15,170101,1600,51.0,18.5658,15.4
16,170101,1700,58.0,18.5658,14.2
17,170101,1800,58.0,18.5658,14.5
18,170101,1900,65.0,18.5658,13.6
19,170101,2000,75.0,18.5658,11.8
20,170101,2100,76.0,18.5658,11.2
21,170101,2200,82.0,18.5658,10.7
22,170101,2300,83.0,18.5658,10.4
23,170102,0,78.0,19.0216,10.4
24,170102,100,71.0,19.0216,11.0
25,170102,200,78.0,19.0216,10.3
26,170102,300,79.0,19.0216,10.2
27,170102,400,87.0,19.0216,9.39999
28,170102,500,91.0,19.0216,9.10001
29,170102,600,86.0,19.0216,8.3
30,170102,700,84.0,19.0216,7.5
31,170102,800,90.0,19.0216,7.4
32,170102,900,90.0,19.0216,7.6
33,170102,1000,83.0,19.0216,7.8
34,170102,1100,82.0,19.0216,8.0
35,170102,1200,82.0,19.0216,7.3
36,170102,1300,76.0,19.0216,9.10001
37,170102,1400,72.0,19.0216,9.2
38,170102,1500,74.0,19.0216,9.3
39,170102,1600,67.0,19.0216,10.5
40,170102,1700,73.0,19.0216,9.7
41,170102,1800,69.0,19.0216,9.89999
42,170102,1900,74.0,19.0216,8.5
43,170102,2000,80.0,19.0216,6.7
44,170102,2100,81.0,19.0216,6.3
45,170102,2200,81.0,19.0216,6.2
46,170102,2300,80.0,19.0216,6.3
47,170103,0,80.0,11.7075,6.0
48,170103,100,80.0,11.7075,5.8
49,170103,200,79.0,11.7075,5.6
50,170103,300,76.0,11.7075,5.8
51,170103,400,79.0,11.7075,5.5
52,170103,500,83.0,11.7075,5.3
